variable_common,ANES_year,variable,description_original,scale,filter_value,notes
economic_reality_1,2008,V083248x,SUMMARY: FAMILY INCOME,"1. A. None or less than $2,999
2. B. $3,000 -$4,999
3. C. $5,000 -$7,499
4. D. $7,500 -$9,999
5. E. $10,000 -$10,999
6. F. $11,000-$12,499
7. G. $12,500-$14,999
8. H. $15,000-$16,999
9. J. $17,000-$19,999
10. K. $20,000-$21,999
11. M. $22,000-$24,999
12. N. $25,000-$29,999
13. P. $30,000-$34,999
14. Q. $35,000-$39,999
15. R. $40,000-$44,999
16. S. $45,000-$49,999
17. T. $50,000-$59,999
18. U. $60,000-$74,999
19. V. $75,000-$89,999
20. W. $90,000-$99,999
21. X. $100,000-$109,999
22. Y. $110,000-$119,999
23. Z. $120,000-$134,999
24. AA. $135,000-$149,999
25. BB. $150,000 and over","1,2,3,4,5,6,7,8,9,10,11,12",avg needed
economic_reality_2,2008,V085080x,SUMMARY: INCOME GAP COMPARED TO 20 YRS AGO,"1. Much larger
2. Somewhat larger
3. About the same
4. Somewhat smaller
5. Much smaller","1,2",
partisan_detachment_1,2008,V085191,CSES: Left-right: self,"10pt scale, 1 = left, 10 = right",5,
partisan_detachment_2,2008,V085148,Govt run by a few big interests or for benefit of all,"1. Gov't run by a few big interests
5. Gov't run for the benefit of all",1,
democratic_apathy_1,2008,V085064t,Feeling thermometer: THE U.S. SUPREME COURT,0-100 Thermometer,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1718,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",avg needed
democratic_apathy_2,2008,V085182,Does/doesn't make a difference who is in power,5 Point Scale - 1. It doesn't make any difference who is in power 5. It makes a big difference who is in power,"1,2",
science_belief_1,2004,V043167,Federal Budget Spending: science and technology,"1. Increased
3. Decreased
5. Kept about the same
7. Cut out entirely {VOL}",1,
science_belief_2,2004,V045072,Feeling Thermometer: environmentalists,0-100 Thermometer,"""60	,
61	,
62	,
63	,
60	,
64	,
65	,
66	,
60	,
67	,
68	,
69	,
60	,
70	,
71	,
72	,
60	,
73	,
74	,
75	,
60	,
76	,
77	,
78	,
60	,
79	,
80	,
81	,
60	,
82	,
83	,
84	,
60	,
85	,
86	,
87	,
60	,
88	,
89	,
90	,
60	,
91	,
92	,
93	,
60	,
94	,
95	,
96	,
60	,
97	,
98	,
99	,
60	,
100""",
forward_looking_1,2004,not using,not using,not using,not using,
forward_looking_2,2004,not using,not using,not using,not using,
economic_reality_1,2004,V043293x,Summary: Household income,"01. A. None or less than $2,999
02. B. $3,000 -$4,999
03. C. $5,000 -$6,999
04. D. $7,000 -$8,999
05. E. $9,000 -$10,999
06. F. $11,000-$12,999
07. G. $13,000-$14,999
08. H. $15,000-$16,999
09. J. $17,000-$19,999
10. K. $20,000-$21,999
11. M. $22,000-$24,999
12. N. $25,000-$29,999
13. P. $30,000-$34,999
14. Q. $35,000-$39,999
15. R. $40,000-$44,999
16. S. $45,000-$49,999
17. T. $50,000-$59,999
18. U. $60,000-$69,999
19. V. $70,000-$79,999
20. W. $80,000-$89,999
21. X. $90,000-$104,999
22. Y. $105,000-$119,000
23. Z. $120,000 and over","01,02,03,04,05,06,07,08,09,10,11,12",
economic_reality_2,2004,V043214,How much national economy better/worse last 4 years,"1. Much better
2. Somewhat better
3. Same
4. Somewhat worse
5. Much worse","4,5",
partisan_detachment_1,2004,V045060,Feeling Thermometer: Federal Government in Washington,0-100 Thermometer,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1718,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",therm
partisan_detachment_2,2004,V045271,CSES Left-Right scale - self placement,"00. Left
01.
02.
03.
04.
05.
06.
07.
08.
09.
10. Right",5,
democratic_apathy_1,2004,V045242,Makes a difference who is in power,1. It makes a difference who is in power 5. It doesn't make a difference who is in power,"3,4,5",
democratic_apathy_2,2004,V045073,Feeling Thermometer: U.S. Supreme Court,0-100 Thermometer,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1718,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",therm
science_belief_1,2000,not using,not using,not using,not using,
science_belief_2,2000,not using,not using,not using,not using,
forward_looking_1,2000,not using,not using,not using,not using,
forward_looking_2,2000,not using,not using,not using,not using,
economic_reality_1,2000,V000994,Pre-Tax Household Income,"1.   A. NONE OR LESS THAN $4,999
       2.   B. $5,000-$9,999
       3.   C. $10,000-$14,999
       4.   D. $15,000-$24,999
       5.   E. $25,000-$34,999
       6.   F. $35,000-$49,999
       7.   G. $50,000-$64,999
       8.   H. $65,000-$74,999
       9.   J. $75,000-$84,999
       10.  K. $85,000-$94,999
       11.  M. $95,000-$104,999
       12.  N. $105,000-$114,999
       13.  P. $115,000-$124,999
       14.  Q. $125,000-$134,999
       15.  R. $135,000-$144,999
       16.  S. $145,000-$154,999
       17.  T. $155,000-$164,999
       18.  U. $165,000-$174,999
       19.  V. $175,000-$184,999
       20.  W. $185,000-$194,999
       21.  X. $195,000-$199,999
       22.  Y. $200,000 and over","1,2,3,4",avg needed
economic_reality_2,2000,V000491,Summary US econ btr/worse last year,"1. Much better
       2. Somewhat better
       3. Stayed about the same
       4. Somewhat worse
       5. Much worse","4,5",
partisan_detachment_1,2000,V001307,Thermometer federal govt in Wash DC,0-100 Thermometer,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1718,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",avg needed
partisan_detachment_2,2000,V000372,Thermometer parties in general,0-100 Thermometer,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1718,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",avg needed
democratic_apathy_1,2000,V001651,Is R satisfied with US Democracy,"1. SATISFIED
       2. FAIRLY SATISFIED
       3. NOT VERY SATISFIED
       4. NOT AT ALL SATISFIED","3,4",
democratic_apathy_2,2000,V001304,Thermometer supreme court,0-100 Thermometer,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1718,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",avg needed
